Time RPM1 RPM2 RPM3
0.098 0.0 0.0 0.0
0.100 0.0 0.0 0.0
0.102 0.0 0.0 0.0
0.104 0.0 0.0 0.0
0.165 0.0 0.0 0.0
0.167 0.0 0.0 0.0
0.170 0.0 0.0 0.0
0.172 0.0 0.0 0.0
0.174 0.0 0.0 0.0
0.176 0.0 0.0 0.0
0.253 0.0 0.0 0.0
0.255 0.0 0.0 0.0
0.257 0.0 0.0 0.0
0.258 0.0 0.0 0.0
0.510 0.0 0.0 0.0
0.512 0.0 0.0 0.0
0.513 0.0 0.0 0.0
0.514 0.0 0.0 0.0
0.516 0.0 0.0 0.0
0.520 0.0 0.0 0.0
0.522 0.0 0.0 0.0
0.524 0.0 0.0 0.0
0.525 0.0 0.0 0.0
0.527 0.0 0.0 0.0
0.528 0.0 0.0 0.0
0.529 0.0 0.0 0.0
0.532 0.0 0.0 0.0
0.575 0.0 0.0 0.0
0.577 0.0 0.0 0.0
0.578 0.0 0.0 0.0
0.580 0.0 0.0 0.0
0.635 0.0 0.0 0.0
0.637 0.0 0.0 0.0
0.638 0.0 0.0 0.0
0.691 0.0 0.0 0.0
0.692 0.0 0.0 0.0
0.705 0.0 0.0 0.0
0.758 0.0 0.0 0.0
0.761 0.0 0.0 0.0
0.762 0.0 0.0 0.0
0.822 0.0 0.0 0.0
0.823 0.0 0.0 0.0
0.825 0.0 0.0 0.0
0.872 0.0 0.0 0.0
0.874 0.0 0.0 0.0
0.875 0.0 0.0 0.0
0.919 0.0 0.0 0.0
0.921 0.0 0.0 0.0
1.000 0.0 0.0 0.0
1.003 0.0 0.0 0.0
1.005 0.0 0.0 0.0
1.006 0.0 0.0 0.0
1.007 0.0 0.0 0.0
1.203 0.0 0.0 0.0
1.204 0.0 0.0 0.0
1.207 0.0 0.0 0.0
1.210 0.0 0.0 0.0
1.212 0.0 0.0 0.0
1.212 0.0 0.0 0.0
1.215 0.0 0.0 0.0
1.216 0.0 0.0 0.0
1.217 0.0 0.0 0.0
1.219 0.0 0.0 0.0
1.283 0.0 0.0 0.0
1.284 0.0 0.0 0.0
1.286 0.0 0.0 0.0
1.525 0.0 0.0 0.0
1.527 0.0 0.0 0.0
1.528 0.0 0.0 0.0
1.531 0.0 0.0 0.0
1.534 0.0 0.0 0.0
1.537 0.0 0.0 0.0
