Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
5173.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
4041.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
3810.000 0.01 -1.59 -0.76 -0.03 0.03 -0.39 0.27 -0.12 9.80
3498.000 0.01 -1.59 -0.76 -0.04 0.01 -0.39 0.27 -0.12 9.80
3867.000 0.01 -1.59 -0.76 -0.01 0.03 -0.37 0.27 -0.12 9.80
4346.000 0.01 -1.59 -0.76 0.00 0.01 -0.37 0.27 -0.12 9.80
4667.000 0.01 -1.59 -0.76 -0.04 0.00 -0.37 0.27 -0.12 9.80
4705.000 0.01 -1.59 -0.76 -0.02 -0.02 -0.37 0.27 -0.12 9.80
5108.000 0.01 -1.59 -0.76 -0.06 0.02 -0.39 0.27 -0.12 9.80
5742.000 0.01 -1.59 -0.76 -0.04 0.02 -0.37 0.27 -0.12 9.80
5850.000 0.01 -1.59 -0.76 -0.04 0.02 -0.39 0.27 -0.12 9.80
6990.000 0.01 -1.59 -0.76 -0.02 0.00 -0.38 0.27 -0.12 9.80
6411.000 0.01 -1.59 -0.76 -0.03 0.02 -0.38 0.27 -0.12 9.80
6948.000 0.01 -1.59 -0.76 -0.01 -0.01 -0.36 0.27 -0.12 9.80
6802.000 0.01 -1.59 -0.76 0.00 0.03 -0.36 0.27 -0.12 9.80
6522.000 0.01 -1.59 -0.76 -0.02 -0.01 -0.40 0.27 -0.12 9.80
5441.000 0.01 -1.59 -0.76 -0.02 0.00 -0.37 0.27 -0.12 9.80
4290.000 0.01 -1.59 -0.76 -0.03 0.01 -0.37 0.27 -0.12 9.80
3644.000 0.01 -1.59 -0.76 -0.04 0.01 -0.38 0.27 -0.12 9.80
3528.000 0.01 -1.59 -0.76 -0.04 0.00 -0.38 0.27 -0.12 9.80
3781.000 0.01 -1.59 -0.76 -0.04 0.00 -0.35 0.27 -0.12 9.80
4113.000 0.01 -1.59 -0.76 -0.04 0.01 -0.39 0.27 -0.12 9.80
4350.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
4696.000 0.01 -1.59 -0.76 -0.02 -0.01 -0.37 0.27 -0.12 9.80
4947.000 0.01 -1.59 -0.76 -0.04 0.02 -0.34 0.27 -0.12 9.80
5223.000 0.01 -1.59 -0.76 -0.01 -0.01 -0.38 0.27 -0.12 9.80
5403.000 0.01 -1.59 -0.76 -0.03 0.01 -0.36 0.27 -0.12 9.80
5575.000 0.01 -1.59 -0.76 -0.01 0.01 -0.41 0.27 -0.12 9.80
5218.000 0.01 -1.59 -0.76 -0.02 0.02 -0.38 0.27 -0.12 9.80
5031.000 0.01 -1.59 -0.76 -0.02 0.02 -0.40 0.27 -0.12 9.80
3534.000 0.01 -1.59 -0.76 -0.03 0.01 -0.38 0.27 -0.12 9.80
3631.000 0.01 -1.59 -0.76 -0.04 0.01 -0.37 0.27 -0.12 9.80
3634.000 0.01 -1.59 -0.76 -0.01 0.02 -0.37 0.27 -0.12 9.80
3510.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
3653.000 0.01 -1.59 -0.76 0.00 0.01 -0.40 0.27 -0.12 9.80
3638.000 0.01 -1.59 -0.76 -0.01 0.02 -0.37 0.27 -0.12 9.80
3845.000 0.01 -1.59 -0.76 0.00 0.01 -0.38 0.27 -0.12 9.80
4248.000 0.01 -1.59 -0.76 -0.03 0.01 -0.37 0.27 -0.12 9.80
4411.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
4707.000 0.01 -1.59 -0.76 -0.04 -0.01 -0.38 0.27 -0.12 9.80
5079.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
5287.000 0.01 -1.59 -0.76 -0.02 0.00 -0.37 0.27 -0.12 9.80
5831.000 0.01 -1.59 -0.76 -0.01 0.01 -0.40 0.27 -0.12 9.80
6180.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
6431.000 0.01 -1.59 -0.76 -0.01 0.01 -0.38 0.27 -0.12 9.80
6925.000 0.01 -1.59 -0.76 0.00 0.02 -0.42 0.27 -0.12 9.80
7356.000 0.01 -1.59 -0.76 0.00 0.02 -0.39 0.27 -0.12 9.80
6665.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
5576.000 0.01 -1.59 -0.76 -0.01 0.00 -0.36 0.27 -0.12 9.80
5513.000 0.01 -1.59 -0.76 -0.01 0.01 -0.40 0.27 -0.12 9.80
3805.000 0.01 -1.59 -0.76 -0.01 0.00 -0.37 0.27 -0.12 9.80
3764.000 0.01 -1.59 -0.76 -0.05 0.00 -0.40 0.27 -0.12 9.80
3651.000 0.01 -1.59 -0.76 -0.03 0.01 -0.39 0.27 -0.12 9.80
5366.000 0.01 -1.59 -0.76 -0.06 0.01 -0.36 0.27 -0.12 9.80
4263.000 0.01 -1.59 -0.76 -0.04 0.00 -0.37 0.27 -0.12 9.80
4666.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
4873.000 0.01 -1.59 -0.76 -0.03 0.04 -0.40 0.27 -0.12 9.80
5467.000 0.01 -1.59 -0.76 -0.02 -0.01 -0.38 0.27 -0.12 9.80
5498.000 0.01 -1.59 -0.76 -0.03 -0.01 -0.38 0.27 -0.12 9.80
5903.000 0.01 -1.59 -0.76 -0.02 0.00 -0.37 0.27 -0.12 9.80
6320.000 0.01 -1.59 -0.76 0.00 0.01 -0.40 0.27 -0.12 9.80
6620.000 0.01 -1.59 -0.76 -0.02 0.01 -0.40 0.27 -0.12 9.80
7032.000 0.01 -1.59 -0.76 -0.02 0.01 -0.35 0.27 -0.12 9.80
6394.000 0.01 -1.59 -0.76 0.00 -0.01 -0.37 0.27 -0.12 9.80
5799.000 0.01 -1.59 -0.76 -0.02 0.02 -0.37 0.27 -0.12 9.80
4793.000 0.01 -1.59 -0.76 -0.05 0.01 -0.37 0.27 -0.12 9.80
4077.000 0.01 -1.59 -0.76 -0.08 0.01 -0.39 0.27 -0.12 9.80
3505.000 0.01 -1.59 -0.76 -0.02 0.03 -0.36 0.27 -0.12 9.80
3632.000 0.01 -1.59 -0.76 -0.01 0.01 -0.36 0.27 -0.12 9.80
3988.000 0.01 -1.59 -0.76 -0.03 0.00 -0.40 0.27 -0.12 9.80
4108.000 0.01 -1.59 -0.76 -0.01 0.00 -0.39 0.27 -0.12 9.80
4423.000 0.01 -1.59 -0.76 -0.04 -0.01 -0.39 0.27 -0.12 9.80
4796.000 0.01 -1.59 -0.76 -0.04 0.00 -0.37 0.27 -0.12 9.80
4982.000 0.01 -1.59 -0.76 -0.07 0.00 -0.38 0.27 -0.12 9.80
5502.000 0.01 -1.59 -0.76 -0.04 0.01 -0.39 0.27 -0.12 9.80
5856.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
6236.000 0.01 -1.59 -0.76 -0.01 0.01 -0.40 0.27 -0.12 9.80
6495.000 0.01 -1.59 -0.76 -0.02 -0.01 -0.39 0.27 -0.12 9.80
6861.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
6501.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
5933.000 0.01 -1.59 -0.76 -0.03 0.02 -0.39 0.27 -0.12 9.80
5199.000 0.01 -1.59 -0.76 -0.02 0.02 -0.38 0.27 -0.12 9.80
4313.000 0.01 -1.59 -0.76 -0.02 0.02 -0.39 0.27 -0.12 9.80
3639.000 0.01 -1.59 -0.76 -0.01 0.00 -0.39 0.27 -0.12 9.80
3635.000 0.01 -1.59 -0.76 -0.01 0.00 -0.39 0.27 -0.12 9.80
3842.000 0.01 -1.59 -0.76 -0.03 0.01 -0.39 0.27 -0.12 9.80
4224.000 0.01 -1.59 -0.76 -0.01 0.01 -0.40 0.27 -0.12 9.80
4385.000 0.01 -1.59 -0.76 -0.02 -0.01 -0.36 0.27 -0.12 9.80
4815.000 0.01 -1.59 -0.76 -0.04 0.00 -0.37 0.27 -0.12 9.80
4884.000 0.01 -1.59 -0.76 -0.05 0.00 -0.38 0.27 -0.12 9.80
5368.000 0.01 -1.59 -0.76 -0.03 0.02 -0.38 0.27 -0.12 9.80
5681.000 0.01 -1.59 -0.76 0.00 0.01 -0.36 0.27 -0.12 9.80
6052.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
6356.000 0.01 -1.59 -0.76 -0.03 0.03 -0.36 0.27 -0.12 9.80
6793.000 0.01 -1.59 -0.76 0.00 0.01 -0.35 0.27 -0.12 9.80
7008.000 0.01 -1.59 -0.76 -0.03 0.00 -0.41 0.27 -0.12 9.80
6486.000 0.01 -1.59 -0.76 -0.02 0.03 -0.38 0.27 -0.12 9.80
5867.000 0.01 -1.59 -0.76 0.00 0.01 -0.41 0.27 -0.12 9.80
6818.000 0.01 -1.59 -0.76 0.00 0.01 -0.36 0.27 -0.12 9.80
4033.000 0.01 -1.59 -0.76 -0.02 0.00 -0.41 0.27 -0.12 9.80
3635.000 0.01 -1.59 -0.76 -0.02 -0.01 -0.39 0.27 -0.12 9.80
3639.000 0.01 -1.59 -0.76 -0.01 0.00 -0.40 0.27 -0.12 9.80
3923.000 0.01 -1.59 -0.76 -0.03 0.01 -0.39 0.27 -0.12 9.80
4004.000 0.01 -1.59 -0.76 -0.03 0.00 -0.39 0.27 -0.12 9.80
4381.000 0.01 -1.59 -0.76 -0.04 0.01 -0.39 0.27 -0.12 9.80
4631.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
4986.000 0.01 -1.59 -0.76 -0.04 0.03 -0.35 0.27 -0.12 9.80
5172.000 0.01 -1.59 -0.76 -0.03 0.01 -0.39 0.27 -0.12 9.80
5376.000 0.01 -1.59 -0.76 -0.03 0.00 -0.37 0.27 -0.12 9.80
5289.000 0.01 -1.59 -0.76 -0.03 0.02 -0.39 0.27 -0.12 9.80
3917.000 0.01 -1.59 -0.76 -0.04 0.01 -0.38 0.27 -0.12 9.80
3637.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
3645.000 0.01 -1.59 -0.76 -0.04 0.00 -0.36 0.27 -0.12 9.80
3518.000 0.01 -1.59 -0.76 -0.03 0.00 -0.37 0.27 -0.12 9.80
3665.000 0.01 -1.59 -0.76 -0.02 0.00 -0.37 0.27 -0.12 9.80
3641.000 0.01 -1.59 -0.76 -0.04 0.03 -0.39 0.27 -0.12 9.80
3637.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
