Time RPM1 RPM2 RPM3
0.001 0.0 0.0 0.0
0.063 0.0 0.0 0.0
0.066 0.0 0.0 0.0
0.071 0.0 0.0 0.0
0.205 0.0 0.0 0.0
0.206 0.0 0.0 0.0
0.212 0.0 0.0 0.0
0.215 0.0 0.0 0.0
0.216 0.0 0.0 0.0
0.219 0.0 0.0 0.0
0.220 0.0 0.0 0.0
0.259 0.0 0.0 0.0
0.260 0.0 0.0 0.0
0.261 0.0 0.0 0.0
0.309 0.0 0.0 0.0
0.311 0.0 0.0 0.0
0.409 0.0 0.0 0.0
0.411 0.0 0.0 0.0
0.413 0.0 0.0 0.0
0.415 0.0 0.0 0.0
0.417 0.0 0.0 0.0
0.423 0.0 0.0 0.0
0.465 0.0 0.0 0.0
0.466 0.0 0.0 0.0
0.608 0.0 0.0 0.0
0.611 0.0 0.0 0.0
0.618 0.0 0.0 0.0
0.619 0.0 0.0 0.0
0.621 0.0 0.0 0.0
0.623 0.0 0.0 0.0
0.624 0.0 0.0 0.0
0.634 0.0 0.0 0.0
0.659 0.0 0.0 0.0
0.660 0.0 0.0 0.0
0.709 0.0 0.0 0.0
0.710 0.0 0.0 0.0
0.717 0.0 0.0 0.0
0.805 0.0 0.0 0.0
0.813 0.0 0.0 0.0
0.818 0.0 0.0 0.0
0.820 0.0 0.0 0.0
0.858 0.0 0.0 0.0
0.862 0.0 0.0 0.0
0.864 0.0 0.0 0.0
1.026 0.0 0.0 0.0
1.029 0.0 0.0 0.0
1.034 0.0 0.0 0.0
1.037 0.0 0.0 0.0
1.039 0.0 0.0 0.0
1.041 0.0 0.0 0.0
1.044 0.0 0.0 0.0
1.052 0.0 0.0 0.0
1.118 0.0 0.0 0.0
1.122 0.0 0.0 0.0
1.124 0.0 0.0 0.0
1.125 0.0 0.0 0.0
1.131 0.0 0.0 0.0
1.222 0.0 0.0 0.0
1.224 0.0 0.0 0.0
1.225 0.0 0.0 0.0
1.226 0.0 0.0 0.0
1.235 0.0 0.0 0.0
1.269 0.0 0.0 0.0
1.271 0.0 0.0 0.0
1.273 0.0 0.0 0.0
1.315 0.0 0.0 0.0
1.320 0.0 0.0 0.0
1.361 0.0 0.0 0.0
1.363 0.0 0.0 0.0
1.411 0.0 0.0 0.0
1.413 0.0 0.0 0.0
1.421 0.0 0.0 0.0
1.465 0.0 0.0 0.0
1.468 0.0 0.0 0.0
1.529 0.0 0.0 0.0
1.532 0.0 0.0 0.0
1.538 0.0 0.0 0.0
1.540 0.0 0.0 0.0
1.582 0.0 0.0 0.0
1.583 0.0 0.0 0.0
1.734 0.0 0.0 0.0
1.741 0.0 0.0 0.0
1.744 0.0 0.0 0.0
1.746 0.0 0.0 0.0
1.749 0.0 0.0 0.0
1.751 0.0 0.0 0.0
1.756 0.0 0.0 0.0
1.757 0.0 0.0 0.0
1.781 0.0 0.0 0.0
1.783 0.0 0.0 0.0
1.827 0.0 0.0 0.0
1.832 0.0 0.0 0.0
1.834 0.0 0.0 0.0
1.873 0.0 0.0 0.0
1.877 0.0 0.0 0.0
1.924 0.0 0.0 0.0
1.929 0.0 0.0 0.0
1.968 0.0 0.0 0.0
1.970 0.0 0.0 0.0
1.971 0.0 0.0 0.0
2.020 0.0 0.0 0.0
2.024 0.0 0.0 0.0
2.145 0.0 0.0 0.0
2.147 0.0 0.0 0.0
2.148 0.0 0.0 0.0
2.151 0.0 0.0 0.0
2.160 0.0 0.0 0.0
2.162 0.0 0.0 0.0
2.188 0.0 0.0 0.0
2.189 0.0 0.0 0.0
2.190 0.0 0.0 0.0
2.237 0.0 0.0 0.0
2.239 0.0 0.0 0.0
2.352 0.0 0.0 0.0
2.353 0.0 0.0 0.0
2.358 0.0 0.0 0.0
2.364 0.0 0.0 0.0
2.365 0.0 0.0 0.0
2.367 0.0 0.0 0.0
2.459 0.0 0.0 0.0
2.460 0.0 0.0 0.0
2.471 0.0 0.0 0.0
2.473 0.0 0.0 0.0
2.474 0.0 0.0 0.0
2.554 0.0 0.0 0.0
2.555 0.0 0.0 0.0
2.564 0.0 0.0 0.0
2.566 0.0 0.0 0.0
2.569 0.0 0.0 0.0
2.764 0.0 0.0 0.0
2.767 0.0 0.0 0.0
2.773 0.0 0.0 0.0
2.774 0.0 0.0 0.0
2.777 0.0 0.0 0.0
2.781 0.0 0.0 0.0
2.785 0.0 0.0 0.0
2.792 0.0 0.0 0.0
2.796 0.0 0.0 0.0
2.799 0.0 0.0 0.0
2.817 0.0 0.0 0.0
2.818 0.0 0.0 0.0
2.824 0.0 0.0 0.0
2.963 0.0 0.0 0.0
2.965 0.0 0.0 0.0
2.968 0.0 0.0 0.0
2.970 0.0 0.0 0.0
2.975 0.0 0.0 0.0
2.978 0.0 0.0 0.0
2.980 0.0 0.0 0.0
3.015 0.0 0.0 0.0
3.020 0.0 0.0 0.0
3.028 0.0 0.0 0.0
3.073 0.0 0.0 0.0
3.077 0.0 0.0 0.0
3.125 0.0 0.0 0.0
3.126 0.0 0.0 0.0
3.134 0.0 0.0 0.0
3.137 0.0 0.0 0.0
3.281 0.0 0.0 0.0
3.283 0.0 0.0 0.0
3.285 0.0 0.0 0.0
3.291 0.0 0.0 0.0
3.294 0.0 0.0 0.0
3.296 0.0 0.0 0.0
3.298 0.0 0.0 0.0
3.373 0.0 0.0 0.0
3.382 0.0 0.0 0.0
3.383 0.0 0.0 0.0
3.384 0.0 0.0 0.0
3.388 0.0 0.0 0.0
3.419 0.0 0.0 0.0
3.428 0.0 0.0 0.0
3.465 0.0 0.0 0.0
3.468 0.0 0.0 0.0
3.470 0.0 0.0 0.0
3.510 0.0 0.0 0.0
3.519 0.0 0.0 0.0
3.561 0.0 0.0 0.0
3.564 0.0 0.0 0.0
3.680 0.0 0.0 0.0
3.682 0.0 0.0 0.0
3.691 0.0 0.0 0.0
3.693 0.0 0.0 0.0
3.694 0.0 0.0 0.0
3.695 0.0 0.0 0.0
3.738 0.0 0.0 0.0
3.743 0.0 0.0 0.0
3.743 0.0 0.0 0.0
3.791 0.0 0.0 0.0
3.794 0.0 0.0 0.0
3.796 0.0 0.0 0.0
3.849 0.0 0.0 0.0
3.850 0.0 0.0 0.0
3.906 0.0 0.0 0.0
3.907 0.0 0.0 0.0
3.910 0.0 0.0 0.0
3.987 0.0 0.0 0.0
3.988 0.0 0.0 0.0
3.989 0.0 0.0 0.0
3.991 0.0 0.0 0.0
3.994 0.0 0.0 0.0
4.099 0.0 0.0 0.0
4.101 0.0 0.0 0.0
4.102 0.0 0.0 0.0
4.104 0.0 0.0 0.0
4.108 0.0 0.0 0.0
4.196 0.0 0.0 0.0
4.197 0.0 0.0 0.0
4.200 0.0 0.0 0.0
4.202 0.0 0.0 0.0
4.204 0.0 0.0 0.0
4.244 0.0 0.0 0.0
4.247 0.0 0.0 0.0
4.249 0.0 0.0 0.0
4.295 0.0 0.0 0.0
4.298 0.0 0.0 0.0
4.338 0.0 0.0 0.0
4.342 0.0 0.0 0.0
4.393 0.0 0.0 0.0
4.396 0.0 0.0 0.0
4.399 0.0 0.0 0.0
4.455 0.0 0.0 0.0
4.457 0.0 0.0 0.0
4.459 0.0 0.0 0.0
4.498 0.0 0.0 0.0
4.501 0.0 0.0 0.0
4.602 0.0 0.0 0.0
4.603 0.0 0.0 0.0
4.606 0.0 0.0 0.0
4.609 0.0 0.0 0.0
4.612 0.0 0.0 0.0
4.655 0.0 0.0 0.0
4.657 0.0 0.0 0.0
4.659 0.0 0.0 0.0
4.813 0.0 0.0 0.0
4.816 0.0 0.0 0.0
4.824 0.0 0.0 0.0
4.827 0.0 0.0 0.0
4.828 0.0 0.0 0.0
4.831 0.0 0.0 0.0
4.833 0.0 0.0 0.0
4.909 0.0 0.0 0.0
4.910 0.0 0.0 0.0
4.911 0.0 0.0 0.0
4.913 0.0 0.0 0.0
4.914 0.0 0.0 0.0
4.922 0.0 0.0 0.0
4.966 0.0 0.0 0.0
4.968 0.0 0.0 0.0
5.121 0.0 0.0 0.0
5.123 0.0 0.0 0.0
5.131 0.0 0.0 0.0
5.133 0.0 0.0 0.0
5.135 0.0 0.0 0.0
5.137 0.0 0.0 0.0
5.141 0.0 0.0 0.0
5.145 0.0 0.0 0.0
5.219 0.0 0.0 0.0
5.221 0.0 0.0 0.0
5.224 0.0 0.0 0.0
5.226 0.0 0.0 0.0
5.232 0.0 0.0 0.0
5.319 0.0 0.0 0.0
5.321 0.0 0.0 0.0
5.323 0.0 0.0 0.0
5.326 0.0 0.0 0.0
5.334 0.0 0.0 0.0
5.372 0.0 0.0 0.0
5.374 0.0 0.0 0.0
5.376 0.0 0.0 0.0
5.535 0.0 0.0 0.0
5.540 0.0 0.0 0.0
5.543 0.0 0.0 0.0
5.545 0.0 0.0 0.0
5.548 0.0 0.0 0.0
5.551 0.0 0.0 0.0
5.555 0.0 0.0 0.0
5.558 0.0 0.0 0.0
5.590 0.0 0.0 0.0
5.592 0.0 0.0 0.0
5.595 0.0 0.0 0.0
5.735 0.0 0.0 0.0
5.737 0.0 0.0 0.0
5.739 0.0 0.0 0.0
5.741 0.0 0.0 0.0
5.742 0.0 0.0 0.0
5.748 0.0 0.0 0.0
5.751 0.0 0.0 0.0
5.778 0.0 0.0 0.0
5.782 0.0 0.0 0.0
5.934 0.0 0.0 0.0
5.942 0.0 0.0 0.0
5.944 0.0 0.0 0.0
5.945 0.0 0.0 0.0
5.946 0.0 0.0 0.0
5.949 0.0 0.0 0.0
5.957 0.0 0.0 0.0
5.959 0.0 0.0 0.0
5.992 0.0 0.0 0.0
5.993 0.0 0.0 0.0
5.996 0.0 0.0 0.0
6.148 0.0 0.0 0.0
6.151 0.0 0.0 0.0
6.154 0.0 0.0 0.0
6.157 0.0 0.0 0.0
6.159 0.0 0.0 0.0
6.165 0.0 0.0 0.0
6.169 0.0 0.0 0.0
6.195 0.0 0.0 0.0
6.197 0.0 0.0 0.0
6.201 0.0 0.0 0.0
6.354 0.0 0.0 0.0
6.356 0.0 0.0 0.0
6.359 0.0 0.0 0.0
6.362 0.0 0.0 0.0
6.364 0.0 0.0 0.0
6.370 0.0 0.0 0.0
6.373 0.0 0.0 0.0
6.375 0.0 0.0 0.0
6.448 0.0 0.0 0.0
6.450 0.0 0.0 0.0
6.461 0.0 0.0 0.0
6.462 0.0 0.0 0.0
6.466 0.0 0.0 0.0
6.551 0.0 0.0 0.0
6.552 0.0 0.0 0.0
6.561 0.0 0.0 0.0
6.565 0.0 0.0 0.0
6.568 0.0 0.0 0.0
6.608 0.0 0.0 0.0
6.611 0.0 0.0 0.0
6.855 0.0 0.0 0.0
6.857 0.0 0.0 0.0
6.860 0.0 0.0 0.0
6.861 0.0 0.0 0.0
6.864 0.0 0.0 0.0
6.869 0.0 0.0 0.0
6.872 0.0 0.0 0.0
6.876 0.0 0.0 0.0
6.878 0.0 0.0 0.0
6.879 0.0 0.0 0.0
6.885 0.0 0.0 0.0
6.886 0.0 0.0 0.0
6.888 0.0 0.0 0.0
7.058 0.0 0.0 0.0
7.061 0.0 0.0 0.0
7.069 0.0 0.0 0.0
7.070 0.0 0.0 0.0
7.072 0.0 0.0 0.0
7.074 0.0 0.0 0.0
7.075 0.0 0.0 0.0
7.084 0.0 0.0 0.0
7.085 0.0 0.0 0.0
7.086 0.0 0.0 0.0
7.162 0.0 0.0 0.0
7.163 0.0 0.0 0.0
7.171 0.0 0.0 0.0
7.173 0.0 0.0 0.0
7.174 0.0 0.0 0.0
7.214 0.0 0.0 0.0
7.216 0.0 0.0 0.0
7.225 0.0 0.0 0.0
7.276 0.0 0.0 0.0
7.278 0.0 0.0 0.0
7.282 0.0 0.0 0.0
7.335 0.0 0.0 0.0
7.343 0.0 0.0 0.0
7.346 0.0 0.0 0.0
7.382 0.0 0.0 0.0
7.384 0.0 0.0 0.0
7.434 0.0 0.0 0.0
7.443 0.0 0.0 0.0
7.445 0.0 0.0 0.0
7.673 0.0 0.0 0.0
7.678 0.0 0.0 0.0
7.681 0.0 0.0 0.0
7.689 0.0 0.0 0.0
7.691 0.0 0.0 0.0
7.692 0.0 0.0 0.0
7.693 0.0 0.0 0.0
7.694 0.0 0.0 0.0
7.702 0.0 0.0 0.0
7.706 0.0 0.0 0.0
7.707 0.0 0.0 0.0
7.709 0.0 0.0 0.0
7.731 0.0 0.0 0.0
7.738 0.0 0.0 0.0
7.739 0.0 0.0 0.0
7.893 0.0 0.0 0.0
7.894 0.0 0.0 0.0
7.895 0.0 0.0 0.0
7.902 0.0 0.0 0.0
7.905 0.0 0.0 0.0
7.906 0.0 0.0 0.0
7.908 0.0 0.0 0.0
7.909 0.0 0.0 0.0
7.951 0.0 0.0 0.0
7.954 0.0 0.0 0.0
7.956 0.0 0.0 0.0
8.092 0.0 0.0 0.0
8.094 0.0 0.0 0.0
8.100 0.0 0.0 0.0
8.102 0.0 0.0 0.0
8.103 0.0 0.0 0.0
8.106 0.0 0.0 0.0
8.109 0.0 0.0 0.0
8.196 0.0 0.0 0.0
8.200 0.0 0.0 0.0
8.203 0.0 0.0 0.0
8.206 0.0 0.0 0.0
8.209 0.0 0.0 0.0
8.302 0.0 0.0 0.0
8.305 0.0 0.0 0.0
8.307 0.0 0.0 0.0
8.309 0.0 0.0 0.0
8.312 0.0 0.0 0.0
8.399 0.0 0.0 0.0
8.401 0.0 0.0 0.0
8.404 0.0 0.0 0.0
8.406 0.0 0.0 0.0
8.408 0.0 0.0 0.0
8.445 0.0 0.0 0.0
8.447 0.0 0.0 0.0
8.449 0.0 0.0 0.0
8.490 0.0 0.0 0.0
8.491 0.0 0.0 0.0
8.537 0.0 0.0 0.0
8.539 0.0 0.0 0.0
8.586 0.0 0.0 0.0
8.587 0.0 0.0 0.0
8.590 0.0 0.0 0.0
8.633 0.0 0.0 0.0
8.635 0.0 0.0 0.0
8.679 0.0 0.0 0.0
8.682 0.0 0.0 0.0
8.730 0.0 0.0 0.0
8.739 0.0 0.0 0.0
8.740 0.0 0.0 0.0
8.904 0.0 0.0 0.0
8.906 0.0 0.0 0.0
8.909 0.0 0.0 0.0
8.915 0.0 0.0 0.0
8.916 0.0 0.0 0.0
8.919 0.0 0.0 0.0
8.921 0.0 0.0 0.0
8.921 0.0 0.0 0.0
8.923 0.0 0.0 0.0
9.108 0.0 0.0 0.0
9.113 0.0 0.0 0.0
9.116 0.0 0.0 0.0
9.117 0.0 0.0 0.0
9.121 0.0 0.0 0.0
9.123 0.0 0.0 0.0
9.124 0.0 0.0 0.0
9.124 0.0 0.0 0.0
9.125 0.0 0.0 0.0
9.131 0.0 0.0 0.0
9.169 0.0 0.0 0.0
9.174 0.0 0.0 0.0
9.395 0.0 0.0 0.0
9.411 0.0 0.0 0.0
9.413 0.0 0.0 0.0
9.414 0.0 0.0 0.0
9.414 0.0 0.0 0.0
9.414 0.0 0.0 0.0
9.416 0.0 0.0 0.0
9.418 0.0 0.0 0.0
9.419 0.0 0.0 0.0
9.419 0.0 0.0 0.0
9.421 0.0 0.0 0.0
9.457 0.0 0.0 0.0
9.488 0.0 0.0 0.0
9.489 0.0 0.0 0.0
9.490 0.0 0.0 0.0
9.521 0.0 0.0 0.0
9.527 0.0 0.0 0.0
9.532 0.0 0.0 0.0
9.616 0.0 0.0 0.0
9.617 0.0 0.0 0.0
9.618 0.0 0.0 0.0
9.620 0.0 0.0 0.0
9.630 0.0 0.0 0.0
9.727 0.0 0.0 0.0
9.729 0.0 0.0 0.0
9.731 0.0 0.0 0.0
9.734 0.0 0.0 0.0
9.739 0.0 0.0 0.0
9.929 0.0 0.0 0.0
9.930 0.0 0.0 0.0
9.932 0.0 0.0 0.0
9.934 0.0 0.0 0.0
9.941 0.0 0.0 0.0
9.944 0.0 0.0 0.0
9.945 0.0 0.0 0.0
9.947 0.0 0.0 0.0
9.950 0.0 0.0 0.0
9.953 0.0 0.0 0.0
9.956 0.0 0.0 0.0
10.130 0.0 0.0 0.0
10.131 0.0 0.0 0.0
10.132 0.0 0.0 0.0
10.136 0.0 0.0 0.0
10.141 0.0 0.0 0.0
10.145 0.0 0.0 0.0
10.146 0.0 0.0 0.0
10.147 0.0 0.0 0.0
10.152 0.0 0.0 0.0
10.155 0.0 0.0 0.0
10.241 0.0 0.0 0.0
10.243 0.0 0.0 0.0
10.246 0.0 0.0 0.0
10.251 0.0 0.0 0.0
10.254 0.0 0.0 0.0
10.337 0.0 0.0 0.0
10.339 0.0 0.0 0.0
10.343 0.0 0.0 0.0
10.347 0.0 0.0 0.0
10.349 0.0 0.0 0.0
10.392 0.0 0.0 0.0
10.393 0.0 0.0 0.0
10.395 0.0 0.0 0.0
10.442 0.0 0.0 0.0
10.444 0.0 0.0 0.0
10.483 0.0 0.0 0.0
10.485 0.0 0.0 0.0
10.486 0.0 0.0 0.0
10.531 0.0 0.0 0.0
10.532 0.0 0.0 0.0
10.573 0.0 0.0 0.0
10.574 0.0 0.0 0.0
10.625 0.0 0.0 0.0
10.629 0.0 0.0 0.0
10.745 0.0 0.0 0.0
10.747 0.0 0.0 0.0
10.748 0.0 0.0 0.0
10.749 0.0 0.0 0.0
10.751 0.0 0.0 0.0
10.752 0.0 0.0 0.0
10.753 0.0 0.0 0.0
10.791 0.0 0.0 0.0
10.793 0.0 0.0 0.0
10.838 0.0 0.0 0.0
10.842 0.0 0.0 0.0
10.896 0.0 0.0 0.0
10.897 0.0 0.0 0.0
10.898 0.0 0.0 0.0
11.058 0.0 0.0 0.0
11.063 0.0 0.0 0.0
11.066 0.0 0.0 0.0
11.067 0.0 0.0 0.0
11.070 0.0 0.0 0.0
11.075 0.0 0.0 0.0
11.077 0.0 0.0 0.0
11.081 0.0 0.0 0.0
11.108 0.0 0.0 0.0
11.112 0.0 0.0 0.0
11.115 0.0 0.0 0.0
11.259 0.0 0.0 0.0
11.260 0.0 0.0 0.0
11.265 0.0 0.0 0.0
11.269 0.0 0.0 0.0
11.276 0.0 0.0 0.0
11.278 0.0 0.0 0.0
11.281 0.0 0.0 0.0
11.309 0.0 0.0 0.0
11.312 0.0 0.0 0.0
11.317 0.0 0.0 0.0
11.366 0.0 0.0 0.0
11.367 0.0 0.0 0.0
11.471 0.0 0.0 0.0
11.473 0.0 0.0 0.0
11.479 0.0 0.0 0.0
11.482 0.0 0.0 0.0
11.484 0.0 0.0 0.0
11.566 0.0 0.0 0.0
11.568 0.0 0.0 0.0
11.573 0.0 0.0 0.0
11.577 0.0 0.0 0.0
11.580 0.0 0.0 0.0
11.674 0.0 0.0 0.0
11.676 0.0 0.0 0.0
11.681 0.0 0.0 0.0
11.683 0.0 0.0 0.0
11.689 0.0 0.0 0.0
11.691 0.0 0.0 0.0
11.741 0.0 0.0 0.0
11.746 0.0 0.0 0.0
11.752 0.0 0.0 0.0
11.793 0.0 0.0 0.0
11.795 0.0 0.0 0.0
11.798 0.0 0.0 0.0
11.840 0.0 0.0 0.0
11.844 0.0 0.0 0.0
11.887 0.0 0.0 0.0
11.889 0.0 0.0 0.0
11.892 0.0 0.0 0.0
11.935 0.0 0.0 0.0
11.940 0.0 0.0 0.0
11.980 0.0 0.0 0.0
11.983 0.0 0.0 0.0
12.077 0.0 0.0 0.0
12.082 0.0 0.0 0.0
12.084 0.0 0.0 0.0
12.086 0.0 0.0 0.0
12.089 0.0 0.0 0.0
12.178 0.0 0.0 0.0
12.182 0.0 0.0 0.0
12.187 0.0 0.0 0.0
12.191 0.0 0.0 0.0
12.192 0.0 0.0 0.0
12.230 0.0 0.0 0.0
12.236 0.0 0.0 0.0
12.237 0.0 0.0 0.0
12.387 0.0 0.0 0.0
12.390 0.0 0.0 0.0
12.394 0.0 0.0 0.0
12.399 0.0 0.0 0.0
